Index,ID,Title,Average Score,Standard Deviation,Individual Scores
1,ANvmVS2Yr0,Generalization in diffusion models arises from geometry-adaptive harmonic representation,8.5,1.0,8-10-8-8
2,3tjTJeXyA7,Revitalizing Channel-dimension Fourier Transform for Image Enhancement,8.5,1.0,8-8-10-8
3,nHESwXvxWK,Monte Carlo guided Denoising Diffusion models for Bayesian linear inverse problems.,8.5,1.91,10-8-10-6
4,aN4Jf6Cx69,The mechanistic basis of data dependence and abrupt learning in an in-context classification task,8.25,2.36,10-10-8-5
5,3SJE1WLB4M,Generalization error of spectral algorithms,8.0,0.0,8-8-8
6,RvUVMjfp8i,A Benchmark on Robust Semi-Supervised Learning in Open Environments,8.0,0.0,8-8-8-8
7,LzPWWPAdY4,LoftQ: LoRA-Fine-Tuning-aware Quantization for Large Language Models,8.0,0.0,8-8
8,cJs4oE4m9Q,Deep Orthogonal Hypersphere Compression for Anomaly Detection,8.0,0.0,8-8-8-8
9,gzqrANCF4g,Language Model Beats Diffusion - Tokenizer is key to visual generation,8.0,0.0,8-8-8
10,QuIiLSktO4,Algorithms for Caching and MTS with reduced number of predictions,8.0,0.0,8-8-8-8
11,di52zR8xgf,SDXL: Improving Latent Diffusion Models for High-Resolution Image Synthesis,8.0,0.0,8-8-8-8
12,cc8h3I3V4E,Approximating Nash Equilibria in Normal-Form Games via Stochastic Optimization,8.0,0.0,8-8-8
13,h922Qhkmx1,Multi-Source Diffusion Models for Simultaneous Music Generation and Separation,8.0,0.0,8-8-8-8
14,ARPrtuzAnQ,On the hardness of learning under symmetries,8,0,8
15,1oijHJBRsT,Self-Alignment with Instruction Backtranslation,8.0,0.0,8-8-8-8
16,GTUoTJXPBf,Noisy Interpolation Learning with Shallow Univariate ReLU Networks,8.0,0.0,8-8-8
17,ceATjGPTUD,Large Language Models are Efficient Learners of Noise-Robust Speech Recognition,8.0,1.63,8-10-6-8
18,2dnO3LLiJ1,Vision Transformers Need Registers,8.0,1.63,8-8-6-10
19,NYN1b8GRGS,GIM: Learning Generalizable Image Matcher From Internet Videos,8.0,1.63,8-10-8-6
20,776lhoaulC,Exploring the Common Appearance-Boundary Adaptation for Nighttime Optical Flow,8.0,2.0,6-8-10
21,EpVe8jAjdx,Privileged Sensing Scaffolds Reinforcement Learning,7.75,2.06,5-8-8-10
22,HL5P4H8eO2,Differentiable Trajectory Optimization as a Policy Class for Reinforcement and Imitation Learning,7.75,2.06,8-5-8-10
23,MN3yH2ovHb,SyncDreamer: Generating Multiview-consistent Images from a Single-view Image,7.6,1.67,6-6-8-10-8
24,5t57omGVMw,Learning to Relax: Setting Solver Parameters Across a Sequence of Linear System Instances,7.5,1.0,8-6-8-8
25,3cuJwmPxXj,Identifying Representations for Intervention Extrapolation,7.5,1.0,8-6-8-8
26,i9Vs5NGDpk,"Asymptotically Free Sketched Ridge Ensembles: Risks, Cross-Validation, and Tuning",7.5,1.0,8-8-8-6
27,HSKaGOi7Ar,Beyond Weisfeiler-Lehman: A Quantitative Framework for GNN Expressiveness,7.5,1.0,6-8-8-8
28,KbetDM33YG,Online GNN Evaluation Under Test-time Graph Distribution Shifts,7.5,1.0,8-8-8-6
29,w4abltTZ2f,Batched Low-Rank Adaptation of Foundation Models,7.5,1.0,8-8-6-8
30,3xHDeA8Noi,Sophia: A Scalable Stochastic Second-order Optimizer for Language Model Pre-training,7.5,1.0,8-6-8-8
31,ta26LtNq2r,Learning to Reject for Balanced Error and Beyond,7.5,1.0,8-8-8-6
32,hSyW5go0v8,"Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection",7.5,1.0,6-8-8-8
33,NU9AYHJvYe,Optimal Sample Complexity of Contrastive Learning,7.5,1.0,8-8-6-8
34,tUtGjQEDd4,Generative Modeling with Phase Stochastic Bridge,7.5,1.0,6-8-8-8
35,9WD9KwssyT,Zipformer: A faster and better encoder for automatic speech recognition,7.5,1.0,8-8-6-8
36,oYjPk8mqAV,Magnushammer: A Transformer-Based Approach to Premise Selection,7.5,1.0,8-8-8-6
37,rpH9FcCEV6,An Efficient Membership Inference Attack for the Diffusion Model by Proximal Initialization,7.5,1.0,8-8-6-8
38,FhQSGhBlqv,A Versatile Causal Discovery Framework to Allow Causally-Related Hidden Variables,7.5,1.0,8-8-6-8
39,6PbvbLyqT6,Dynamic Discounted Counterfactual Regret Minimization,7.5,1.0,8-8-6-8
40,NialiwI2V6,MOTOR: A Time-To-Event Foundation Model For Structured Medical Records,7.5,1.0,8-6-8-8
41,OI3RoHoWAN,GenSim: Generating Robotic Simulation Tasks via Large Language Models,7.5,1.0,8-6-8-8
42,KZJehvRKGD,Depthwise Hyperparameter Transfer in Residual Networks: Dynamics and Scaling Limit,7.5,1.0,8-8-6-8
43,pzElnMrgSD,How I Warped Your Noise: a Temporally-Correlated Noise Prior for Diffusion Models,7.5,1.0,8-8-8-6
44,jxpsAj7ltE,From Sparse to Soft Mixtures of Experts,7.5,1.0,6-8-8-8
45,xriGRsoAza,Inherently Interpretable Time Series Classification via Multiple Instance Learning,7.5,1.0,8-8-8-6
46,BOfDKxfwt0,RealChat-1M: A Large-Scale Real-World LLM Conversation Dataset,7.5,1.0,8-8-8-6
47,84n3UwkH7b,"Detecting, Explaining, and Mitigating Memorization in Diffusion Models",7.5,1.0,8-8-8-6
48,tqh1zdXIra,Quick-Tune: Quickly Learning Which Pretrained Model to Finetune and How,7.5,1.0,6-8-8-8
49,NjNGlPh8Wh,The Expressive Power of Transformers with Chain of Thought,7.5,1.0,8-8-8-6
50,jsWCmrsHHs,Deep Reinforcement Learning Guided Improvement Heuristic for Job Shop Scheduling,7.5,1.0,6-8-8-8
51,WNkW0cOwiz,Lipschitz Singularities in Diffusion Models,7.5,1.0,8-8-8-6
52,FVhmnvqnsI,Multisize Dataset Condensation,7.5,1.0,6-8-8-8
53,sllU8vvsFF,LRM: Large Reconstruction Model for Single Image to 3D,7.5,1.0,8-6-8-8
54,9Cu8MRmhq2,Multi-granularity Correspondence Learning from Noisy Instructional Videos,7.5,1.0,6-8-8-8
55,owziuM1nsR,Recursive Generalization Transformer for Image Super-Resolution,7.5,1.0,8-6-8-8
56,MHjigVnI04,High-dimensional SGD aligns with emerging outlier eigenspaces,7.5,1.76,5-8-6-8-8-10
